x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
,25.75,0.5,u,g,c,,875.0,t,f,,,g,,0.0,+
b,18.67,5.0,u,,,,375.0,t,,2.0,,g,,,-
b,,4165.0,u,g,x,bb,85.0,f,f,0.0,t,g,520.0,0.0,-
,51.58,15.0,u,g,,,,t,t,,,g,0.0,0.0,+
,21.42,,,p,r,n,0.75,,,0.0,t,g,132.0,2.0,-
a,,,,p,,,165.0,,f,,f,,,,-
,,7.0,,p,c,,,,f,,,g,,2.0,-
b,,5.0,u,,,,5.0,t,t,,f,,0.0,3065.0,+
b,43.08,,y,p,c,,375.0,,t,,,g,,,+
,47.67,,,,c,bb,,,,,,,0.0,,+
,19.75,,,g,c,,,,t,5.0,,,,5.0,-
,30.75,1585.0,,g,,,585.0,,,0.0,t,,,,-
a,,,y,,c,,2.5,f,,,t,g,,2.0,-
b,,6.5,,g,,v,125.0,f,,,f,,60.0,100.0,-
b,,10085.0,,p,e,h,1.25,,,,f,g,260.0,0.0,-
,,0.75,u,,c,,,t,t,3.0,,,312.0,150.0,+
b,,,y,p,x,,0.04,,t,1.0,t,g,,59.0,+
b,30.67,2.5,u,,cc,,,,,,t,s,,0.0,-
b,27.83,1.54,,,w,v,,,,5.0,,g,100.0,3.0,+
,26.58,,,,ff,,0.0,,f,0.0,t,g,180.0,60.0,-
b,,4.0,y,p,,v,85.0,f,,0.0,t,g,411.0,0.0,-
,,2.75,u,g,aa,v,665.0,f,t,1.0,f,,80.0,,-
b,54.42,0.5,y,p,k,h,,t,,,,g,,,+
b,60.08,,,,ff,,18.0,t,t,15.0,t,g,0.0,,+
b,42.5,4915.0,y,,,v,,t,,,t,g,52.0,1442.0,+
,60.58,16.5,,,q,v,11.0,t,f,0.0,t,g,21.0,,+
b,23.08,11.5,u,g,,h,,,t,,t,g,290.0,,+
a,28.08,15.0,,,,z,0.0,t,f,,f,g,,13212.0,+
,,1.5,,g,,v,0.25,f,f,0.0,t,g,,,-
,,,u,g,,,,f,f,,t,,276.0,,-
a,,1.75,y,p,c,,165.0,,,,f,g,132.0,,-
,39.08,4.0,,g,,v,3.0,,f,,f,,,,-
b,,1625.0,,g,c,v,,t,,,f,,,,+
,,,u,,,,,t,f,,f,,280.0,,-
a,20.42,835.0,u,g,,,1585.0,t,,,f,g,0.0,,+
,22.17,585.0,y,p,ff,,0.0,,f,0.0,,g,100.0,,-
,,11.75,,,x,h,0.5,t,,2.0,t,g,300.0,,+
,15.83,585.0,u,,,,1.5,,,2.0,f,,,0.0,+
,26.5,,,p,,,85.0,f,,,f,s,80.0,,-
a,,10.75,,g,,,415.0,,t,5.0,,,0.0,,+
,,12.5,u,,aa,bb,0.25,f,,0.0,t,g,720.0,0.0,-
b,22.25,,u,g,aa,v,,,f,,f,,0.0,0.0,-
b,38.25,,y,p,k,v,125.0,f,,0.0,f,g,160.0,0.0,-
,,3.5,u,g,aa,v,3.5,t,f,,,s,230.0,0.0,+
,16.0,3125.0,,g,,v,85.0,f,,1.0,f,,0.0,6.0,-
,17.92,0.54,u,g,c,,1.75,,t,1.0,,g,80.0,5.0,-
,32.42,3.0,,g,d,,,f,f,0.0,,g,120.0,,-
b,29.42,1.25,u,g,,h,,f,t,2.0,t,g,,108.0,-
b,34.0,4.5,,g,aa,,,,f,0.0,,g,240.0,0.0,-
a,23.75,0.71,,,w,v,,,t,1.0,t,g,240.0,4.0,-
a,22.25,1.25,y,p,,,3.25,,f,0.0,,,280.0,,-
b,18.83,0.0,u,,q,v,665.0,f,f,0.0,,,160.0,1.0,-
,,,y,p,ff,ff,,,f,0.0,t,,,,-
b,34.75,2.5,u,,cc,,,f,,,,,348.0,0.0,-
a,18.42,9.25,u,,q,,,,t,,f,g,,,+
,25.17,3.0,u,g,c,,,f,t,,f,,0.0,22.0,-
b,25.67,,y,,c,v,,f,f,0.0,,,160.0,,-
b,23.33,1.5,u,g,c,h,,t,,0.0,f,g,422.0,,+
b,,375.0,u,,c,v,,,f,0.0,,g,,,-
,32.0,6.0,,,,v,1.25,f,,0.0,f,,272.0,0.0,-
b,,,,,aa,v,2.0,t,,,t,g,,560.0,+
a,41.17,6.5,,g,,,0.5,t,,,,g,,,+
b,,0.5,u,g,c,v,1.46,,,,,g,,,+
,24.5,,u,g,,bb,,t,t,2.0,f,g,73.0,,+
b,19.42,,y,,,v,2.0,t,,0.0,t,g,100.0,20.0,-
,40.0,6.5,,g,aa,bb,,,,,,g,,500.0,+
a,,0.0,y,p,,ff,0.0,,f,,f,g,,,-
a,,335.0,u,,i,bb,1.0,t,f,,t,g,252.0,2197.0,-
b,,4.25,,g,m,,125.0,,f,,t,g,,0.0,+
,,,u,g,,,,t,t,,f,g,160.0,234.0,+
b,34.0,5.5,,,c,v,,f,f,,t,,60.0,0.0,-
,25.75,,,g,,,,,f,,,g,349.0,,+
a,,,u,,q,h,3.04,t,t,6.0,f,g,43.0,,+
a,,,u,g,c,,,t,f,0.0,t,,360.0,1.0,-
,,,u,g,,v,,t,t,5.0,,g,480.0,,+
,26.0,1.0,u,,,v,,t,f,,,,,0.0,+
b,33.17,,,g,x,,0.75,t,,7.0,,g,,4071.0,+
b,25.67,12.5,,,cc,,1.21,t,,,t,g,140.0,,+
a,,,,p,i,h,,f,,0.0,t,,160.0,,-
,25.5,375.0,,g,m,v,,,t,3.0,f,g,,,+
a,28.58,3.75,,g,c,v,0.25,f,t,,t,g,,154.0,-
,16.33,0.21,u,g,,v,125.0,,,0.0,f,g,200.0,,-
b,,,y,,m,,0.04,,,1.0,t,,,2000.0,+
b,,1165.0,y,p,,,2.5,t,t,,,g,,,-
b,,,u,g,w,v,,,t,1.0,,g,272.0,,-
a,,0.79,,,q,,1.5,t,,2.0,t,g,,400.0,+
a,36.75,4.71,,,,ff,0.0,f,,,f,,160.0,0.0,-
